
*---------- Result file number [0] ----------*
  * File name   : C:\Users\gmdms\Desktop\측정 데이터\EIS\240207 SOC별 EIS 테스트 (충방전기)\240206 SOC별 EIS 테스트 (포텐시오스텟)\Potentiostat_SOC vs EIS_1_01.SDE
  * Device Information : Channel 1 [Device 2, Device channel 1]  * Data version : 0001  * Test duration : 2024/02/06 17:52:28 ~ 2024/02/07 15:55:05
      -> Current convention : Anodic )  * Channel : 1 (Device : 2<R04BA2311016>, Device channel : 1 )
  * Firmware version : USB( 6.7.4.0 ) , FPGA( 6.7.4.3 ) , DSP( 6.7.4.7 )
  * Flow status : READY , Error status : NONE  * Data count : 1649
  * Sequence file : C:\ZIVE DATA\SM6\schedule\3.0-4.3 SoC vs EIS (CCCV).ZSC
  * Tester : 
  * Memo : 

---------------------------	---------------------------	---------------------------	---------------------------	---------------------------	
                File Number	                List Number	                  Frequency	                      Zreal	                       -Zim	
                           	                           	                         Hz	                        Ohm	                        Ohm	
---------------------------	---------------------------	---------------------------	---------------------------	---------------------------	
                          1	                         90	2.15440005064e-001	1.72236919403e+001	2.43842053413e+000	
                          1	                         91	1.46779999137e-001	1.75992546082e+001	2.84629750252e+000	
                          1	                         92	1.00000001490e-001	1.80494346619e+001	3.45564007759e+000	
                          1	                         93	6.81290030479e-002	1.85807781219e+001	4.33031702042e+000	
                          1	                         94	4.64159995317e-002	1.92230911255e+001	5.51161003113e+000	
                          1	                         95	3.16229984164e-002	2.00250320435e+001	7.11738967896e+000	
                          1	                         96	2.15440001339e-002	2.10714015961e+001	9.24881553650e+000	
                          1	                         97	1.46779995412e-002	2.24585990906e+001	1.21070022583e+001	
                          1	                         98	9.99999977648e-003	2.43335323334e+001	1.58584337234e+001	
                          1	                         99	1.00000000000e+006	1.51594233513e+000	-3.87119144201e-001	
                          1	                        100	6.81290000000e+005	1.58652126789e+000	-8.50134268403e-002	
                          1	                        101	4.64160000000e+005	1.68475556374e+000	1.51264160872e-001	
                          1	                        102	3.16230000000e+005	1.81703770161e+000	3.40438008308e-001	
                          1	                        103	2.15440000000e+005	1.99018096924e+000	4.84527200460e-001	
                          1	                        104	1.46780000000e+005	2.17786526680e+000	5.78975737095e-001	
                          1	                        105	1.00000000000e+005	2.36747312546e+000	6.34856522083e-001	
                          1	                        106	6.81290000000e+004	2.54874968529e+000	6.69284462929e-001	
                          1	                        107	4.64160000000e+004	2.72578525543e+000	6.94632530212e-001	
                          1	                        108	3.16230000000e+004	2.90151071548e+000	7.20525085926e-001	
                          1	                        109	2.15440000000e+004	3.07955288887e+000	7.46637940407e-001	
                          1	                        110	1.46780000000e+004	3.26090741158e+000	7.74737358093e-001	
                          1	                        111	1.00000000000e+004	3.44361972809e+000	8.06237339973e-001	
                          1	                        112	6.81289990234e+003	3.62950706482e+000	8.46974432468e-001	
                          1	                        113	4.64160009766e+003	3.82333040237e+000	9.02131617069e-001	
                          1	                        114	3.16230004883e+003	4.02869939804e+000	9.76387143135e-001	
                          1	                        115	2.15439990234e+003	4.25401639938e+000	1.06970798969e+000	
                          1	                        116	1.46780004883e+003	4.50722742081e+000	1.18202996254e+000	
                          1	                        117	1.00000000000e+003	4.79317855835e+000	1.31046354771e+000	
                          1	                        118	6.81289978027e+002	5.12048101425e+000	1.45126640797e+000	
                          1	                        119	4.64160003662e+002	5.48946809769e+000	1.59581220150e+000	
                          1	                        120	3.16230010986e+002	5.90547132492e+000	1.74042558670e+000	
                          1	                        121	2.15440002441e+002	6.36367654800e+000	1.87354040146e+000	
                          1	                        122	1.46779998779e+002	6.85700511932e+000	1.99361228943e+000	
                          1	                        123	1.00000000000e+002	7.38833141327e+000	2.09710717201e+000	
                          1	                        124	6.81289978027e+001	7.94895029068e+000	2.17878937721e+000	
                          1	                        125	4.64160003662e+001	8.55601024628e+000	2.20541453362e+000	
                          1	                        126	3.16229991913e+001	9.17313003540e+000	2.19724059105e+000	
                          1	                        127	2.15440006256e+001	9.78476142883e+000	2.12175393105e+000	
                          1	                        128	1.46780004501e+001	1.03622856140e+001	1.97664248943e+000	
                          1	                        129	1.00000000000e+001	1.08753185272e+001	1.77007997036e+000	
                          1	                        130	6.81290006638e+000	1.12996711731e+001	1.52934539318e+000	
                          1	                        131	4.64160013199e+000	1.16264696121e+001	1.28418982029e+000	
                          1	                        132	3.16230010986e+000	1.18673143387e+001	1.06923615932e+000	
                          1	                        133	2.15440011024e+000	1.20431518555e+001	9.01597619057e-001	
                          1	                        134	1.46780002117e+000	1.21806478500e+001	7.83683240414e-001	
                          1	                        135	1.00000000000e+000	1.22926797867e+001	7.15897321701e-001	
                          1	                        136	6.81289970875e-001	1.23963670731e+001	6.97901487350e-001	
                          1	                        137	4.64159995317e-001	1.24766159058e+001	7.14159011841e-001	
                          1	                        138	3.16229999065e-001	1.25815134048e+001	7.91308879852e-001	
                          1	                        139	2.15440005064e-001	1.26906013489e+001	9.22471940517e-001	
                          1	                        140	1.46779999137e-001	1.28187484741e+001	1.10705709457e+000	
                          1	                        141	1.00000001490e-001	1.29853267670e+001	1.37992334366e+000	
                          1	                        142	6.81290030479e-002	1.31811618805e+001	1.74895453453e+000	
                          1	                        143	4.64159995317e-002	1.34590063095e+001	2.24013352394e+000	
                          1	                        144	3.16229984164e-002	1.38558845520e+001	2.89608764648e+000	
                          1	                        145	2.15440001339e-002	1.44033946991e+001	3.76256060600e+000	
                          1	                        146	1.46779995412e-002	1.51683616638e+001	4.83805227280e+000	
                          1	                        147	9.99999977648e-003	1.61769618988e+001	6.34158754349e+000	
                          1	                        148	1.00000000000e+006	1.48794698715e+000	-3.97329419851e-001	
                          1	                        149	6.81290000000e+005	1.55927526951e+000	-9.82584729791e-002	
                          1	                        150	4.64160000000e+005	1.65634930134e+000	1.30996167660e-001	
                          1	                        151	3.16230000000e+005	1.78514468670e+000	3.09785962105e-001	
                          1	                        152	2.15440000000e+005	1.94950735569e+000	4.44476276636e-001	
                          1	                        153	1.46780000000e+005	2.12180948257e+000	5.29495835304e-001	
                          1	                        154	1.00000000000e+005	2.29286980629e+000	5.80719172955e-001	
                          1	                        155	6.81290000000e+004	2.45644116402e+000	6.16909325123e-001	
                          1	                        156	4.64160000000e+004	2.61842465401e+000	6.47268295288e-001	
                          1	                        157	3.16230000000e+004	2.78077554703e+000	6.77685618401e-001	
                          1	                        158	2.15440000000e+004	2.94986844063e+000	7.09988951683e-001	
                          1	                        159	1.46780000000e+004	3.12296867371e+000	7.43963956833e-001	
                          1	                        160	1.00000000000e+004	3.30106401443e+000	7.81831443310e-001	
                          1	                        161	6.81289990234e+003	3.48217034340e+000	8.27073633671e-001	
                          1	                        162	4.64160009766e+003	3.67360496521e+000	8.85997653008e-001	
                          1	                        163	3.16230004883e+003	3.87782812119e+000	9.61260020733e-001	
                          1	                        164	2.15439990234e+003	4.10355472565e+000	1.05363917351e+000	
                          1	                        165	1.46780004883e+003	4.35689544678e+000	1.16146242619e+000	
                          1	                        166	1.00000000000e+003	4.64381551743e+000	1.28174602985e+000	
                          1	                        167	6.81289978027e+002	4.97157526016e+000	1.40872323513e+000	
                          1	                        168	4.64160003662e+002	5.34018278122e+000	1.53356599808e+000	
                          1	                        169	3.16230010986e+002	5.75205516815e+000	1.64669466019e+000	
                          1	                        170	2.15440002441e+002	6.20083856583e+000	1.73893678188e+000	
                          1	                        171	1.46779998779e+002	6.67687368393e+000	1.80094516277e+000	
                          1	                        172	1.00000000000e+002	7.17796993256e+000	1.82896041870e+000	
                          1	                        173	6.81289978027e+001	7.68630409241e+000	1.80878341198e+000	
                          1	                        174	4.64160003662e+001	8.19933509827e+000	1.71359241009e+000	
                          1	                        175	3.16229991913e+001	8.66864776611e+000	1.57453572750e+000	
                          1	                        176	2.15440006256e+001	9.07092380524e+000	1.38549375534e+000	
                          1	                        177	1.46780004501e+001	9.38939380646e+000	1.17882764339e+000	
                          1	                        178	1.00000000000e+001	9.62885379791e+000	9.85998034477e-001	
                          1	                        179	6.81290006638e+000	9.80581951141e+000	8.24726819992e-001	
                          1	                        180	4.64160013199e+000	9.94062900543e+000	7.07860052586e-001	
                          1	                        181	3.16230010986e+000	1.00519514084e+001	6.30120396614e-001	
                          1	                        182	2.15440011024e+000	1.01563043594e+001	5.87771534920e-001	
                          1	                        183	1.46780002117e+000	1.02473411560e+001	5.78416287899e-001	
                          1	                        184	1.00000000000e+000	1.03456697464e+001	5.98004281521e-001	
                          1	                        185	6.81289970875e-001	1.04487743378e+001	6.53918504715e-001	
                          1	                        186	4.64159995317e-001	1.05583438873e+001	7.43218839169e-001	
                          1	                        187	3.16229999065e-001	1.06831598282e+001	8.78270506859e-001	
                          1	                        188	2.15440005064e-001	1.08302459717e+001	1.06345665455e+000	
                          1	                        189	1.46779999137e-001	1.10208530426e+001	1.30416214466e+000	
                          1	                        190	1.00000001490e-001	1.12394266129e+001	1.61579513550e+000	
                          1	                        191	6.81290030479e-002	1.15184745789e+001	2.03100228310e+000	
                          1	                        192	4.64159995317e-002	1.18621540070e+001	2.57322931290e+000	
                          1	                        193	3.16229984164e-002	1.22958774567e+001	3.29379343987e+000	
                          1	                        194	2.15440001339e-002	1.28579397202e+001	4.24147748947e+000	
                          1	                        195	1.46779995412e-002	1.36281576157e+001	5.47376441956e+000	
                          1	                        196	9.99999977648e-003	1.46705379486e+001	7.02708482742e+000	
                          1	                        197	1.00000000000e+006	1.47675371170e+000	-4.05949681997e-001	
                          1	                        198	6.81290000000e+005	1.54759061337e+000	-1.11768238246e-001	
                          1	                        199	4.64160000000e+005	1.64190948009e+000	1.11102595925e-001	
                          1	                        200	3.16230000000e+005	1.76612651348e+000	2.83145636320e-001	
                          1	                        201	2.15440000000e+005	1.92023801804e+000	4.10266220570e-001	
                          1	                        202	1.46780000000e+005	2.07835507393e+000	4.89461421967e-001	
                          1	                        203	1.00000000000e+005	2.23393774033e+000	5.42318880558e-001	
                          1	                        204	6.81290000000e+004	2.38537120819e+000	5.83150506020e-001	
                          1	                        205	4.64160000000e+004	2.53872251511e+000	6.22577905655e-001	
                          1	                        206	3.16230000000e+004	2.69569444656e+000	6.60022556782e-001	
                          1	                        207	2.15440000000e+004	2.86157679558e+000	7.00142383575e-001	
